id,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1060,002299,圣农发展,-0.37,-544.26,,-8.41,,-38778.88,-609.05,,04-25
1061,300462,华铭智能,0.34,-66.0,,10.77,,4234.95,-18.28,,04-25
1062,300170,汉得信息,0.26,-21.21,,13.58,,21424.0,20.83,,04-25
1063,002170,芭田股份,0.18,-15.92,,9.12,,15881.12,-14.68,10派1.1,04-25
1064,603398,邦宝益智,0.92,12.2,,31.53,,6617.34,12.55,,04-25
1065,300402,宝色股份,0.02,-92.91,,0.6,,417.02,-90.97,10派0.1,04-25
1066,300192,科斯伍德,0.14,-14.06,,5.23,,3472.21,-12.15,,04-25
1067,002175,东方网络,0.23,41.76,,6.43,,5336.49,145.48,10派1转16,04-25
1068,002207,*ST准油,-0.77,-2025.0,,-36.01,,-18408.42,-1959.81,,04-25
1069,002729,好利来,0.45,-29.69,,7.86,,2971.35,-14.73,,04-25
1070,300309,吉艾科技,0.17,-56.41,,5.71,,7439.35,-13.18,,04-25
1071,300444,双杰电气,0.39,-46.43,,13.31,,9015.33,21.43,,04-25
1072,002786,银宝山新,0.8,25.0,,12.19,,7610.25,24.46,,04-25
1073,000505,珠江控股,-0.25,-39.02,,,,-10757.37,-37.97,,04-25
1074,002303,美盈森,0.15,-57.86,,9.5,,22048.28,-15.7,,04-25
1075,000703,恒逸石化,0.16,-151.61,,3.55,,18460.58,-152.34,,04-25
1076,600093,易见股份,0.46,320.91,,11.05,,33457.23,844.24,10派0.4,04-25
1077,601211,国泰君安,2.21,99.1,12.5,23.65,,1570029.1,132.32,10派5.2,04-25
1078,300083,劲胜智能,-2.12,-672.97,,-27.52,,-47050.2,-732.85,,04-25
1079,002340,格林美,0.13,-48.0,,3.42,,15421.06,-26.93,,04-25
1080,002762,金发拉比,0.66,-64.32,,11.23,,6876.37,-27.09,,04-25
1081,002797,第一创业,0.52,100.0,3.12,18.15,2.0,102127.27,100.97,10派0.8,04-25
1082,002163,中航三鑫,-0.29,-1550.0,,-27.2,,-23002.23,-1305.97,,04-25
1083,002195,二三四五,0.48,-30.43,,9.83,,41718.34,252.38,10派1转10,04-25
1084,002276,万马股份,0.29,16.0,,9.63,,27189.18,15.5,10派1.00004,04-25
1085,601211,国泰君安,2.21,99.1,12.5,23.65,,1570029.1,132.32,10派5.2,04-25
1086,300083,劲胜智能,-2.12,-672.97,,-27.52,,-47050.2,-732.85,,04-25
1087,002666,德联集团,0.24,-52.0,,7.38,,17870.75,10.65,,04-25
1088,000504,南华生物,-0.07,-12.5,,,,-2121.8,-18.86,,04-25
1089,300141,和顺电气,0.14,-55.01,,3.29,,2259.79,-56.5,,04-25
1090,300465,高伟达,0.35,-46.97,,10.43,,4122.89,-37.61,,04-25
1091,002722,金轮股份,0.46,76.92,,10.61,,6159.21,81.47,,04-25
1092,000017,深中华A,-0.0,-103.37,,-1.17,,-13.84,-102.83,,04-25
1093,002591,恒大高新,-0.25,-1228.44,,-9.27,,-6645.46,-1224.38,,04-25
1094,002660,茂硕电源,0.06,-131.58,,1.95,,1605.31,-133.54,,04-25
1095,300486,东杰智能,0.3,-42.31,,6.81,,3632.88,-32.86,,04-25
1096,002796,世嘉科技,0.9,-5.26,,22.11,0.85,5389.19,-5.59,,04-25
1097,000156,华数传媒,0.4,21.21,,7.84,,53355.21,39.03,10派0.35,04-25
1098,000902,新洋丰,1.18,8.26,,19.68,,74762.87,30.91,10派3转10,04-25
1099,300355,蒙草生态,0.36,-5.26,,10.29,,15920.62,-4.53,,04-25
1100,002291,星期六,0.06,-40.0,,1.3,,2253.46,-37.32,,04-25
1101,603779,威龙股份,0.28,16.67,3.53,8.22,1.03,4180.83,18.47,,04-25
1102,300167,迪威视讯,0.03,-211.33,,1.45,,1001.34,-207.0,,04-25
1103,603988,中电电机,0.53,-38.23,,6.89,,4277.05,-21.29,,04-25
1104,300496,中科创达,1.55,3.51,,30.84,,11660.94,3.51,,04-25
1105,002269,美邦服饰,-0.17,-221.43,,-13.0,,-43192.15,-396.57,,04-25
1106,002333,罗普斯金,0.82,290.48,,14.74,,20612.72,283.81,10派2,04-25
1107,002161,远望谷,0.02,-67.74,,1.18,,1726.03,-62.64,10派0.07,04-25
1108,601200,上海环境,,,,,,30221.52,30.18,,04-25
1109,300388,国祯环保,0.26,-62.32,,9.45,,7496.79,44.17,10派0.5,04-25
1110,600175,美都能源,0.02,-81.51,,1.11,,4992.74,-73.6,10派0.06,04-25
1111,600586,金晶科技,0.02,-114.0,,0.75,,2793.18,-113.96,,04-25
1112,300377,赢时胜,0.53,26.19,,13.28,,5841.8,25.92,,04-25
1113,002648,卫星石化,-0.55,-1462.5,,-13.13,,-43601.12,-1439.3,,04-25
1114,002685,华东重机,0.04,-33.5,,2.73,,2191.08,86.18,,04-25
1115,002380,科远股份,0.3,-28.57,,6.38,,6127.34,44.07,,04-25
1116,300188,美亚柏科,0.31,-40.38,,13.37,,13316.5,16.2,,04-25
1117,603025,大豪科技,0.43,-21.82,,14.75,,18531.75,-15.34,,04-25
1118,002788,鹭燕医药,1.18,3.51,,16.58,,11347.97,3.8,,04-25
1119,600518,康美药业,0.62,-40.1,,18.54,,275673.46,20.6,10派1.9,04-25
1120,002203,海亮股份,0.27,-6.41,,12.52,,45669.03,1.07,10派0.6,04-25
1121,002465,海格通信,0.28,-36.36,,10.57,,57958.7,30.91,,04-25
1122,002160,常铝股份,0.2,233.33,,6.29,,11841.88,453.43,10派0.2,04-25
1123,600523,贵航股份,0.57,23.91,,8.67,,16556.4,24.34,10派1.74,04-25
1124,300353,东土科技,0.17,43.98,,12.05,,6024.09,196.38,10派0.1,04-25
1125,300370,安控科技,0.33,-43.21,,16.23,,8016.26,43.79,10派0.6转10,04-25
1126,300440,运达科技,1.25,-3.83,,13.6,,12835.78,17.83,,04-25
1127,002713,东易日盛,0.39,-59.38,,10.52,,9836.63,-15.42,,04-25
1128,002747,埃斯顿,0.45,-8.16,,11.75,,5119.05,16.43,,04-25
1129,000807,云铝股份,0.02,-106.6,,0.57,,2939.35,-106.29,,04-25
1130,000589,黔轮胎A,-0.33,-237.5,,-7.14,,-25898.21,-255.88,,04-23
1131,300413,快乐购,0.25,-46.81,,6.3,,9509.59,-38.29,,04-23
1132,300106,西部牧业,0.14,0.0,,3.59,,2311.28,2.77,,04-23
1133,600383,金地集团,0.71,-20.22,,9.86,,320035.04,-19.94,10派4.2,04-23
1134,600401,*ST海润,0.02,-102.53,,1.96,,9608.09,-110.14,,04-23
1135,002218,拓日新能,0.05,-600.0,,1.35,,3106.17,-677.63,10派0.5,04-23
1136,002540,亚太科技,0.23,-56.5,,9.31,,24080.29,8.55,,04-23
1137,002234,民和股份,-1.04,-595.24,,-30.5,,-31552.73,-603.33,,04-23
1138,000957,中通客车,1.58,35.04,,28.05,,39927.0,42.8,10派5转10,04-23
1139,002604,龙力生物,0.1,-63.78,,2.64,,4931.21,-42.59,,04-23
1140,002604,龙力生物,0.1,-63.78,,2.64,,4931.21,-42.59,,04-23
1141,601118,海南橡胶,-0.25,-4517.54,,-11.66,,-98971.32,-4522.12,,04-23
1142,300369,绿盟科技,0.55,-49.07,,13.44,,19432.39,34.48,,04-23
1143,002625,光启技术,0.14,-36.36,,8.04,,4033.7,3.06,,04-23
1144,300467,迅游科技,0.38,-81.09,,20.67,,5936.48,-1.35,,04-23
1145,600033,福建高速,0.2,-8.31,,6.96,,55078.52,-8.32,10派1,04-23
1146,000752,西藏发展,0.06,-36.0,,2.1,,1645.55,-36.0,10派0.5,04-23
1147,000557,西部创业,-0.03,-1594.12,,-3.29,,-1743.85,-1586.9,,04-23
1148,002646,青青稞酒,0.51,-27.18,,10.16,,23101.1,-27.19,,04-23
1149,002421,达实智能,0.27,-47.33,,9.08,,15263.33,36.08,,04-23
1150,600395,盘江股份,0.01,-92.47,,0.4,,2320.5,-92.45,10派0.1,04-23
1151,600883,博闻科技,0.31,-254.27,,11.25,,7375.36,-254.27,10派1,04-23
1152,300035,中科电气,0.07,-69.57,,1.82,,1532.64,-71.24,,04-23
1153,002619,艾格拉斯,0.59,883.33,,6.34,,15874.98,2179.03,,04-23
1154,000995,皇台酒业,0.01,-104.55,,1.34,,134.41,-103.42,,04-23
1155,600288,大恒科技,0.06,3.95,,1.88,,2759.11,3.93,10派0.19,04-23
1156,002651,利君股份,0.14,-78.46,,7.81,,14484.22,-44.46,,04-23
1157,002699,美盛文化,0.29,-38.3,,13.69,,12640.83,30.15,,04-23
1158,600365,通葡股份,0.01,0.0,,0.37,,254.8,13.33,,04-23
